m, c, val,
412, 12732.4, 2.10419e-05,
412, 13528.2, 2.37446e-05,
412, 14323.9, 2.6617e-05,
412, 15119.7, 2.96135e-05,
412, 15915.5, 3.28089e-05,
412, 16711.3, 3.61718e-05,
412, 17507, 3.98095e-05,
412, 18302.8, 4.3478e-05,
412, 19098.6, 4.73116e-05,
412, 19894.4, 5.12694e-05,
412, 20690.1, 5.54205e-05,
412, 21485.9, 5.97343e-05,
412, 22281.7, 6.42099e-05,
412, 23077.5, 6.8809e-05,
412, 23873.2, 7.35983e-05,
412, 24669, 7.85471e-05,
412, 25464.8, 8.36546e-05,
412, 26260.6, 8.90683e-05,
412, 27056.3, 9.44742e-05,
412, 27852.1, 0.000100036,
412, 28647.9, 0.000105752,
412, 29443.7, 0.000111587,
412, 30239.4, 0.000117608,
412, 31035.2, 0.000123782,
412, 31831, 0.000130107,
412, 32626.8, 0.000136583,
412, 33422.5, 0.000143209,
412, 34218.3, 0.000150167,
412, 35014.1, 0.000157071,
412, 35809.9, 0.000164122,
412, 36605.6, 0.000171319,
412, 37401.4, 0.000178661,
412, 38197.2, 0.000186147,
412, 38993, 0.000193776,
412, 39788.7, 0.000201547,
412, 40584.5, 0.00020949,
412, 41380.3, 0.000217535,
412, 42176.1, 0.000225868,
412, 42971.8, 0.000234177,
412, 43767.6, 0.000242652,
412, 44563.4, 0.000251225,
412, 45359.2, 0.000259933,
412, 46154.9, 0.000268808,
412, 46950.7, 0.000277773,
412, 47746.5, 0.000286872,
412, 48542.3, 0.000296129,
412, 49338, 0.000305478,
412, 50133.8, 0.000314988,
412, 50929.6, 0.000324726,
412, 51725.4, 0.000334467,
412, 52521.1, 0.000344287,
412, 53316.9, 0.000354267,
412, 54112.7, 0.000364323,
412, 54908.5, 0.000374534,
412, 55704.2, 0.00038482,
412, 56500, 0.000395254,
412, 57295.8, 0.000405768,
412, 58091.6, 0.000416419,
412, 58887.3, 0.000427183,
412, 59683.1, 0.000438016,
412, 60478.9, 0.000448986,
412, 61274.7, 0.000460207,
412, 62070.4, 0.000471376,
412, 62866.2, 0.000482604,
412, 63662, 0.000493966,
412, 64457.8, 0.000505426,
412, 65253.5, 0.000516982,
412, 66049.3, 0.000528632,
412, 66845.1, 0.000540332,
412, 67640.9, 0.000552159,
412, 68436.6, 0.000564074,
412, 69232.4, 0.000576076,
412, 70028.2, 0.000588163,
412, 70823.9, 0.000600333,
412, 71619.7, 0.000612584,
412, 72415.5, 0.000624914,
412, 73211.3, 0.000637322,
412, 74007, 0.000649806,
412, 74802.8, 0.000662364,
412, 75598.6, 0.000674995,
412, 76394.4, 0.000687698,
412, 77190.1, 0.00070047,
412, 77985.9, 0.000713311,
412, 78781.7, 0.000726254,
412, 79577.5, 0.000739221,
414, 795.775, 1.79904e-07,
414, 1591.55, 4.14285e-07,
414, 2387.32, 8.31487e-07,
414, 3183.1, 1.61408e-06,
414, 3978.87, 2.36531e-06,
414, 4774.65, 3.33468e-06,
414, 5570.42, 4.44157e-06,
414, 6366.2, 5.73497e-06,
414, 7161.97, 7.23785e-06,
414, 7957.75, 8.89002e-06,
414, 8753.52, 1.091e-05,
414, 9549.3, 1.28999e-05,
414, 10345.1, 1.51001e-05,
414, 11140.8, 1.74515e-05,
414, 11936.6, 2.00111e-05,
414, 12732.4, 2.27579e-05,
414, 13528.2, 2.56434e-05,
414, 14323.9, 2.88877e-05,
414, 15119.7, 3.21137e-05,
414, 15915.5, 3.55465e-05,
414, 16711.3, 3.91629e-05,
414, 17507, 4.29256e-05,
414, 18302.8, 4.68951e-05,
414, 19098.6, 5.11872e-05,
414, 19894.4, 5.54906e-05,
414, 20690.1, 5.99367e-05,
414, 21485.9, 6.45893e-05,
414, 22281.7, 6.94199e-05,
414, 23077.5, 7.44274e-05,
414, 23873.2, 7.97456e-05,
414, 24669, 8.50759e-05,
414, 25464.8, 9.05437e-05,
414, 26260.6, 9.62169e-05,
414, 27056.3, 0.000102063,
414, 27852.1, 0.000108234,
414, 28647.9, 0.000114394,
414, 29443.7, 0.000120723,
414, 30239.4, 0.000127222,
414, 31035.2, 0.000133888,
414, 31831, 0.000140722,
414, 32626.8, 0.000147862,
